"","sens","PCC","spec","thresholds"
"1",0,0.0238805970149254,1,0
"2",0,0.0238805970149254,1,0.05
"3",0,0.0238805970149254,1,0.1
"4",0,0.0238805970149254,1,0.15
"5",0,0.0238805970149254,1,0.2
"6",0,0.0238805970149254,1,0.25
"7",0,0.0238805970149254,1,0.3
"8",0,0.0238805970149254,1,0.35
"9",0,0.0238805970149254,1,0.4
"10",0,0.0238805970149254,1,0.45
"11",0,0.0238805970149254,1,0.5
"12",0,0.0238805970149254,1,0.55
"13",0,0.0238805970149254,1,0.6
"14",0,0.0238805970149254,1,0.65
"15",0.00611620795107034,0.0298507462686567,1,0.7
"16",0.018348623853211,0.0417910447761194,1,0.75
"17",0.055045871559633,0.0776119402985075,1,0.8
"18",0.116207951070336,0.137313432835821,1,0.85
"19",0.174311926605505,0.191044776119403,0.875,0.9
"20",0.262996941896024,0.271641791044776,0.625,0.95
"21",0.373088685015291,0.376119402985075,0.5,1
"22",0.559633027522936,0.555223880597015,0.375,1.05
"23",0.706422018348624,0.695522388059701,0.25,1.1
"24",0.801223241590214,0.785074626865672,0.125,1.15
"25",0.886850152905199,0.865671641791045,0,1.2
"26",0.920489296636086,0.898507462686567,0,1.25
"27",0.951070336391437,0.928358208955224,0,1.3
"28",0.969418960244648,0.946268656716418,0,1.35
"29",0.981651376146789,0.958208955223881,0,1.4
"30",0.99388379204893,0.970149253731343,0,1.45
"31",0.99388379204893,0.970149253731343,0,1.5
"32",0.99388379204893,0.970149253731343,0,1.55
"33",0.99388379204893,0.970149253731343,0,1.6
"34",0.996941896024465,0.973134328358209,0,1.65
"35",0.996941896024465,0.973134328358209,0,1.7
"36",0.996941896024465,0.973134328358209,0,1.75
"37",0.996941896024465,0.973134328358209,0,1.8
"38",0.996941896024465,0.973134328358209,0,1.85
"39",0.996941896024465,0.973134328358209,0,1.9
"40",0.996941896024465,0.973134328358209,0,1.95
