Method,Colony,mean,sd,n,se,Per_Cov,Angle
ground,A Fissure to East,33.7535014,0.594207383,2,0.42016807,12.42645257,11.06020267
ground,A Mushroom to Fissure,65.32582462,11.14987362,2,7.884151245,17.05412975,10.09990999
ground,A Rocks to Mushroom,26.72672673,13.59004024,2,9.60960961,18.27469731,11.93105574
ground,B,43.16666667,1.773649721,3,1.024017144,7.54,11.74100602
ground,Bluff North,29.68893797,18.7475315,3,10.82389236,4.311072871,21.14575833
ground,Bluff South,5.722891567,3.549732837,2,2.51004016,6.842224716,29.18505349
ground,C,36.20689655,6.30248354,3,3.638740568,9.769142358,9.155019856
ground,D,53.80875203,0.687624101,2,0.486223665,11.38994314,8.852857512
ground,Saddle,43.07027876,2.284960274,3,1.319222429,5.510920438,12.16334889
ground,South Slope,20.30124427,3.804925003,3,2.196774475,9.982454326,14.7616627
groundimage,A Fissure to East,54.20168,0,1,0,12.42645257,11.06020267
groundimage,A Mushroom to Fissure,68.22204,0,1,0,17.05412975,11.06020267
groundimage,A Rocks to Mushroom,35.88589,0,1,0,18.27469731,10.09990999
groundimage,B,43.5,0,1,0,7.54,11.93105574
groundimage,Bluff North,2.981778023,0,1,0,4.311072871,11.74100602
groundimage,Bluff South,5.823293173,0,1,0,6.842224716,21.14575833
groundimage,C,30.2955665,0,1,0,9.769142358,29.18505349
groundimage,D,57.86062,0,1,0,11.38994314,9.155019856
groundimage,Saddle,43.3451119,0,1,0,5.510920438,8.852857512
groundimage,South Slope,18.46758,0,1,0,9.982454326,12.16334889
,,,,,,,14.7616627
,,,,,,,11.06020267
