,PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,nestimate,colony,flight
1,1,0,1,0,1,0,1,0,1,0,617,d,f1f3
2,1,0,1,0,1,0,1,0,1,0,617,d,f1f4
3,1,0,1,0,1,0,1,0,1,0,617,d,f4f1
4,1,0,1,0,1,0,1,0,1,0,617,d,f4f3
5,1,0,1,0,1,0,1,0,1,0,617,d,f3f1
6,1,0,1,0,1,0,1,0,1,0,617,d,f3f4
11,0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,1017,sslope,f1f3
12,0.99808978,0.001350083,0.963305646,0.025904575,1,0,0.931034483,0.047887247,0.965517241,0.023943623,1020,sslope,f1f4
13,0.99808978,0.001350083,0.963305646,0.025904575,1,0,0.931034483,0.047887247,0.965517241,0.023943623,1020,sslope,f4f1
14,0.996179561,0.001907478,0.923976184,0.037829432,1,0,0.862068966,0.065166288,0.931034483,0.032583144,1022,sslope,f4f3
15,0.99903568,0.00096432,0.973867903,0.026110574,0.999017682,0.000982318,1,0,0.999508841,0.000491159,1017,sslope,f3f1
16,0.996142719,0.001925846,0.880419742,0.05924651,1,0,0.789473684,0.096091677,0.894736842,0.048045838,1022,sslope,f3f4
17,0.98820059,0.002933479,0.918158568,0.020275541,0.999195495,0.000804505,0.867256637,0.032060568,0.933226066,0.01603533,1257,amushfiss,f1f3
18,0.989675516,0.002746066,0.928388747,0.018990974,1,0,0.876106195,0.031131078,0.938053097,0.015565539,1257,amushfiss,f1f4
19,0.989321129,0.002839852,0.879723194,0.031741117,1,0,0.794117647,0.049398594,0.897058824,0.024699297,1257,amushfiss,f4f1
110,0.990846682,0.002631218,0.898469164,0.029024215,1,0,0.823529412,0.046573441,0.911764706,0.02328672,1255,amushfiss,f4f3
111,0.986206897,0.003229804,0.829285309,0.039407762,0.99839099,0.001137284,0.741935484,0.056025056,0.870163237,0.028018299,1257,amushfiss,f3f1
112,0.990804598,0.002643264,0.888110889,0.031948873,1,0,0.806451613,0.050584681,0.903225806,0.025292341,1255,amushfiss,f3f4
113,0.992287918,0.003138298,0.946646551,0.021666398,1,0,0.90625,0.036723103,0.953125,0.018361552,720,afisseast,f1f3
114,0.985861183,0.004235493,0.899955577,0.029813822,0.99859944,0.00140056,0.84375,0.045745316,0.92117472,0.022883376,723,afisseast,f1f4
115,0.988173456,0.003921378,0.887928919,0.036901522,1,0,0.808510638,0.058014463,0.904255319,0.029007232,723,afisseast,f4f1
116,0.993429698,0.002930586,0.941564924,0.026008724,0.99859944,0.00140056,0.914893617,0.041142194,0.956746528,0.020583013,717,afisseast,f4f3
117,0.991957105,0.003272461,0.892414191,0.043490834,1,0,0.8125,0.070102172,0.90625,0.035051086,720,afisseast,f3f1
118,0.995978552,0.002318665,0.948728522,0.029503166,1,0,0.90625,0.05235146,0.953125,0.02617573,717,afisseast,f3f4
119,0.934831461,0.008278178,0.810729947,0.023594616,1,0,0.741071429,0.02933375,0.870535714,0.014666875,724,arocksmush,f1f3
120,0.961797753,0.006428882,0.893202513,0.017859632,1,0,0.848214286,0.0240279,0.924107143,0.01201395,700,arocksmush,f1f4
121,0.955145119,0.007523009,0.749854409,0.040593533,1,0,0.630434783,0.050599349,0.815217391,0.025299675,700,arocksmush,f4f1
122,0.95646438,0.007416668,0.758556785,0.039888703,1,0,0.641304348,0.05027759,0.820652174,0.025138795,699,arocksmush,f4f3
123,0.926952141,0.009240507,0.669385176,0.03944584,1,0,0.546875,0.044172419,0.7734375,0.02208621,724,arocksmush,f3f1
124,0.958438287,0.007087486,0.828455827,0.028801499,1,0,0.7421875,0.038815657,0.87109375,0.019407829,699,arocksmush,f3f4
